,TimeStamp,Headline
0,2022-06-23,Swiss detail revenue split for global minimum tax rate
1,2022-06-22,"Meta and other tech giants form metaverse standards body, without Apple"
2,2022-06-22,"Shopify unveils new tools, Twitter tie-up to beat e-commerce slowdown"
3,2022-06-22,Volkswagen CEO questions whether Apple plans to produce cars
4,2022-06-21,Wall Street gains over 2% in broad rebound
5,2022-06-21,"Meta and other tech giants form metaverse standards body, without Apple"
6,2022-06-21,US STOCKS-Wall Street gains over 2% in broad rebound
7,2022-06-21,"US STOCKS-Megacap, energy shares lead resurgent Wall Street"
8,2022-06-21,"US STOCKS-Megacap, energy shares lead broad Wall Street rebound "
9,2022-06-21,US STOCKS-Tech and energy shares boost Wall St in bear market rally
10,2022-06-21,"US STOCKS-Wall Street bounces as growth, energy stocks jump"
11,2022-06-21,US STOCKS-Wall Street set for strong open after bruising week
12,2022-06-21,US STOCKS-Futures jump after worst week for S&P 500 since March 2020
13,2022-06-21,Tencent forms 'extended reality' unit as metaverse race gathers steam - sources
14,2022-06-20,Biden says he is proud of Apple workers who voted to join a union
15,2022-06-20,UPDATE 1-Biden says he is proud of Apple workers who voted to join a union
16,2022-06-20,Biden says he is proud of Apple workers who voted to join a union
17,2022-06-20,China power demand sets new records as heatwaves bake northern cities
18,2022-06-20,UPDATE 1-China power demand sets new records as heatwaves bake northern cities
19,2022-06-20,"UPDATE 2-Taiwan May export orders return to growth, uncertainly ahead"
20,2022-06-20,Power demand in parts of China sets new records amid searing heat
21,2022-06-19,"Apple workers at Maryland store vote to unionize, a first for the U.S."
22,2022-06-18,"Apple workers at Maryland store vote to unionize, a first for the U.S."
23,2022-06-18,Warren Buffett charity lunch fetches record winning bid of $19 million
24,2022-06-18,UPDATE 5-Warren Buffett charity lunch fetches record winning bid of $19 mln
25,2022-06-17,Britain's Boris Johnson meets Zelenskiy on surprise Kyiv trip
26,2022-06-17,Britain's Boris Johnson meets Zelenskiy on surprise Kyiv trip
27,2022-06-17,UPDATE 3-Bidding tops $13.1 mln for Warren Buffett charity lunch
28,2022-06-17,UPDATE 5-Britain's Boris Johnson meets Zelenskiy on surprise Kyiv trip
29,2022-06-17,Beyonce announces new music coming end July
30,2022-06-17,NBCUniversal extends deal to sell ads for Apple News
31,2022-06-17,NBCUniversal extends deal to sell ads for Apple News
32,2022-06-17,Regulator calls for Big Tech privacy cases to be handled by EU watchdog
33,2022-06-17,EU fails to agree corporate tax reform as Hungary vetoes overhaul
34,2022-06-17,UPDATE 2-EU fails to agree corporate tax reform as Hungary vetoes overhaul
35,2022-06-17,US STOCKS-Wall Street set to crawl higher under shadow of recession fears
36,2022-06-17,US STOCKS-Futures rebound after rout but recession worries weigh
37,2022-06-17,"Russia's No.2 bourse SPB to offer Hong Kong shares, host IPO"
38,2022-06-17,"Russia's No.2 bourse SPB to offer Hong Kong shares, host IPO"
39,2022-06-17,France's Le Maire says tax deal 'difficult' but will try again
40,2022-06-17,"Gymnastics-British athletes subjected to 'child abuse', says former gymnast Pavier"
41,2022-06-17,"Gymnastics-British athletes subjected to 'child abuse', says former gymnast Pavier"
42,2022-06-16,US STOCKS-Wall Street sinks as recession fears ripple through markets
43,2022-06-16,Beyonce announces new music coming end July
44,2022-06-16,US STOCKS-Wall Street slammed as recession worries mount
45,2022-06-16,US STOCKS-Wall Street set to slide on rising recession fears
46,2022-06-16,US STOCKS-Futures slide on rising recession fears
47,2022-06-16,CORRECTED-US STOCKS-Futures slump as recession fears loom
48,2022-06-15,UK music subscriptions in decline as households seek savings
49,2022-06-15,UK music subscriptions in decline as households seek savings
50,2022-06-15,Warren Buffett donates $4 billion to charity
51,2022-06-15,Qualcomm wins fight against $1 billion EU antitrust fine
52,2022-06-15,US STOCKS-Growth stocks lift Wall Street ahead of Fed's rate decision
53,2022-06-15,US STOCKS-Wall Street set to open higher ahead of Fed's rate decision
54,2022-06-15,L3Harris in talks to buy Israeli spyware firm NSO - reports
55,2022-06-15,UPDATE 3-Qualcomm wins fight against $1 bln EU antitrust fine
56,2022-06-15,EU court rejects $1 bln EU antitrust fine against Qualcomm
57,2022-06-15,The Saudi investment king who no longer rules alone
58,2022-06-15,FOCUS-The Saudi investment king who no longer rules alone
59,2022-06-15,L3Harris in talks to buy Israeli spyware firm NSO - reports
60,2022-06-15,"European smartphone market falls 12% in Q1, Counterpoint says"
61,2022-06-15,"European smartphone market falls 12% in Q1, Counterpoint says"
62,2022-06-15,"China COVID controls makes Apple supplier Pegatron ""emphasise"" expansion elsewhere"
63,2022-06-15,"China COVID controls makes Apple supplier Pegatron ""emphasise"" expansion elsewhere"
64,2022-06-14,UPDATE 1-Warren Buffett donates $4 billion to charity
65,2022-06-14,Soccer-Major League Soccer and Apple TV agree to 10-year partnership
66,2022-06-14,UPDATE 1-Soccer-Major League Soccer and Apple TV agree to 10-year partnership
67,2022-06-14,"Big Tech bill has votes needed to pass, top U.S. antitrust lawmaker says"
68,2022-06-14,"Big Tech bill has votes needed to pass, top U.S. antitrust lawmaker says"
69,2022-06-14,Soccer-Major League Soccer and Apple TV agree to 10-year partnership
